MUNICIPALITY,LAST_NAME,FIRST_NAME,OFFICE_FILLED,VOTES_FOR_CANDIDATE,VOTES_FOR_OFFICE,ELECTED_OR_ACCLAIMED,COUNCIL_INCUMBENT,OFFICE_INCUMBENT,OFFICE_SUBJECT_TO_RECOUNT
East Garafraxa Tp,Banfield,Lenora,Local Councillor,,,Acclaimed,Yes,Yes,No
East Garafraxa Tp,Zukowski,Jeremy,Local Councillor,,,Acclaimed,No,No,No
East Garafraxa Tp,Halls,Dave,Local Councillor,,,Acclaimed,No,No,No
East Garafraxa Tp,Stirk,John,Deputy Mayor,,,Acclaimed,Yes,Yes,No
East Gwillimbury T,Hackson,Virginia,Mayor,3266,6341,Elected,Yes,Yes,No
East Gwillimbury T,Carruthers,Loralea,Local Councillor,,,Acclaimed,Yes,Yes,No
East Gwillimbury T,Foster,Terry,Local Councillor,,,Acclaimed,Yes,Yes,No
East Gwillimbury T,Johns,Brian,Local Councillor,1287,3074,Elected,No,No,No
East Gwillimbury T,Roy-DiClemente,Tara,Local Councillor,1118,3074,Elected,Yes,Yes,No
East Gwillimbury T,Crone,Scott,Local Councillor,1524,4266,Elected,Yes,Yes,No
East Gwillimbury T,Lahey,Susan,Local Councillor,1072,4266,Elected,No,No,No
East Hawkesbury Tp,Kirby,Robert,Mayor,,,Acclaimed,Yes,Yes,No
East Hawkesbury Tp,Sabourin,Stéphanie,Local Councillor,648,2877,Elected,Yes,Yes,No
East Hawkesbury Tp,Desjardins,Monique,Local Councillor,881,2877,Elected,No,No,No
East Hawkesbury Tp,Sauvé,Karina,Local Councillor,528,2877,Elected,Yes,Yes,No
East Hawkesbury Tp,Tranchemontagne,Jacques,Deputy Mayor,599,1225,Elected,No,No,No
East Zorra - Tavistock Tp,Schaefer,Philip,Mayor,1218,2222,Elected,Yes,No,No
East Zorra - Tavistock Tp,Gillespie,Matthew,Local Councillor,542,1434,Elected,Yes,Yes,No
East Zorra - Tavistock Tp,Rudy,Scott,Local Councillor,,,Acclaimed,Yes,Yes,No
East Zorra - Tavistock Tp,Smith,Jeremy,Local Councillor,556,1434,Elected,Yes,Yes,No
East Zorra - Tavistock Tp,Van Wyk,Steven,Local Councillor,,,Acclaimed,No,No,No
East Zorra - Tavistock Tp,Zehr,Scott,Local Councillor,,,Acclaimed,No,No,No
East Zorra - Tavistock Tp,Smith,Brad,Deputy Mayor,1396,2216,Elected,No,No,No
Edwardsburgh-Cardinal Tp,Deschamps,Tory,Mayor,1585,2646,Elected,Yes,No,No
Edwardsburgh-Cardinal Tp,Martelle,Joe,Local Councillor,570,905,Elected,No,No,No
Edwardsburgh-Cardinal Tp,Smail,Waddy,Local Councillor,475,867,Elected,No,No,No
Edwardsburgh-Cardinal Tp,Ward,Chris,Local Councillor,524,791,Elected,No,No,No
Edwardsburgh-Cardinal Tp,Dillabough,Stephen,Deputy Mayor,1667,2583,Elected,Yes,No,No
Elizabethtown-Kitley Tp,Burrow,Brant,Mayor,1529,2708,Elected,Yes,Yes,No
Elizabethtown-Kitley Tp,Brayton,Earl,Local Councillor,,,Acclaimed,Yes,Yes,No
Elizabethtown-Kitley Tp,Eady,Christina,Local Councillor,,,Acclaimed,Yes,Yes,No
Elizabethtown-Kitley Tp,Linton,Tom,Local Councillor,,,Acclaimed,Yes,Yes,No
Elizabethtown-Kitley Tp,Oosterhof,Henry,Local Councillor,,,Acclaimed,No,No,No
Elizabethtown-Kitley Tp,Renaud,Eleanor Leacock,Local Councillor,,,Acclaimed,Yes,Yes,No
Elizabethtown-Kitley Tp,Smith,Rob,Local Councillor,,,Acclaimed,Yes,Yes,No
Elliot Lake C,Patrie,Chris,Mayor,1619,3688,Elected,Yes,No,No
Elliot Lake C,Wannan,Andrew,Local Councillor,2358,18191,Elected,No,No,No
Elliot Lake C,Flintoff,Charles,Local Councillor,1726,18191,Elected,No,No,No
Elliot Lake C,Bull,Rick,Local Councillor,1685,18191,Elected,No,No,No
Elliot Lake C,Mann,Norman,Local Councillor,1514,18191,Elected,Yes,Yes,No
Elliot Lake C,Seidel,Merrill,Local Councillor,1266,18191,Elected,No,No,No
Elliot Lake C,Morrissette,Luc D.,Local Councillor,1098,18191,Elected,No,No,Yes
Emo Tp,McQuaker,Harold,Mayor,,,Acclaimed,Yes,Yes,No
Emo Tp,Boven,Harrold,Local Councillor,207,414,Elected,Yes,Yes,No
Emo Tp,Teeple,Lisa,Local Councillor,238,414,Elected,No,No,No
Emo Tp,Wieringa,Gerald,Local Councillor,293,414,Elected,No,No,No
Emo Tp,Whatley,Phil,Local Councillor,347,414,Elected,No,No,No
Englehart T,Mikovitch,Jerry,Mayor,329,471,Elected,Yes,No,No
Englehart T,Bannink,Pamela,Local Councillor,385,2223,Elected,Yes,Yes,No
Englehart T,Metson,Douglas,Local Councillor,325,2223,Elected,Yes,Yes,No
Englehart T,Swanson,Kaytlyn,Local Councillor,280,2223,Elected,No,No,No
Englehart T,DeLeeuw,Jason,Local Councillor,277,2223,Elected,Yes,Yes,No
Englehart T,Jordan,Lori,Local Councillor,275,2223,Elected,No,No,No
Englehart T,Farmer,Jo-Anne,Local Councillor,238,2223,Elected,No,No,No
Enniskillen Tp,Marriott,Kevin,Mayor,,,Acclaimed,Yes,Yes,No
Enniskillen Tp,Burke,Chad,Local Councillor,,,Acclaimed,Yes,Yes,No
Enniskillen Tp,Krall,Judy,Local Councillor,,,Acclaimed,Yes,Yes,No
Enniskillen Tp,McCallum,Mary Lynne,Local Councillor,,,Acclaimed,Yes,Yes,No
Enniskillen Tp,Van Dun,Wally,Local Councillor,,,Acclaimed,Yes,Yes,No
Erin T,Dehn,Michael,Mayor,1776,3326,Elected,No,No,No
Erin T,Brennan,John,Local Councillor,1959,11000,Elected,Yes,Yes,No
Erin T,Cheyne,Jamie,Local Councillor,1805,11000,Elected,Yes,Yes,No
Erin T,Aylard,Cathy,Local Councillor,2050,11000,Elected,No,No,No
Erin T,Ryan,Bridget,Local Councillor,2011,11000,Elected,No,No,No
Espanola T,Gervais,Doug,Mayor,1030,1684,Elected,No,No,No
Espanola T,Kelly,Angela,Local Councillor,1293,8591,Elected,No,No,No
Espanola T,Kallioinen,Aidan,Local Councillor,1023,8591,Elected,No,No,No
Espanola T,Nadeau,Johnathan,Local Councillor,1009,8591,Elected,No,No,No
Espanola T,Hayden,Sandra,Local Councillor,699,8591,Elected,Yes,Yes,No
Espanola T,Massicotte,Gerry,Local Councillor,673,8591,Elected,No,No,No
Espanola T,Duplessis,Ken,Local Councillor,614,8591,Elected,Yes,Yes,No
Essa Tp,MacDonald,Sandie,Mayor,,,Acclaimed,Yes,Yes,
Essa Tp,Kiezebrink,Pieter,Local Councillor,518,820,Elected,Yes,Yes,No
Essa Tp,Sander,Henry,Local Councillor,505,923,Elected,Yes,Yes,No
Essa Tp,Maltby,Liana,Local Councillor,337,606,Elected,No,No,No
Essa Tp,Smith,Michael,Deputy Mayor,,,Acclaimed,Yes,Yes,
Essex T,Bondy,Sherry,Mayor,3794,7032,Elected,Yes,No,No
Essex T,Garon,Joe,Local Councillor,1282,2375,Elected,Yes,Yes,No
Essex T,Verbeek,Kim,Local Councillor,,,Acclaimed,Yes,Yes,No
Essex T,McGuire-Blais,Katie,Local Councillor,1186,2375,Elected,No,No,No
Essex T,Allard,Brad,Local Councillor,1063,2203,Elected,No,No,No
Essex T,Matyi,Jason,Local Councillor,1038,2203,Elected,Yes,Yes,No
Essex T,Hammond,Rodney,Local Councillor,626,1197,Elected,No,No,No
Essex T,Shepley,Rob,Deputy Mayor,3581,7032,Elected,No,No,No
Evanturel Tp,Mundle,Derek,Reeve,,,Acclaimed,Yes,Yes,
Evanturel Tp,Beachey,Barbara,Local Councillor,,,Acclaimed,Yes,Yes,
Evanturel Tp,MacPherson,Robert,Local Councillor,,,Acclaimed,Yes,Yes,
Evanturel Tp,Belanger,Gisèle,Local Councillor,,,Acclaimed,No,No,
Evanturel Tp,Simmens,John,Local Councillor,,,Acclaimed,No,No,
Faraday Tp,Purcell,Dennis,Mayor,,,Acclaimed,Yes,Yes,No
Faraday Tp,Bowers,Murray,Local Councillor,369,1703,Elected,Yes,Yes,No
Faraday Tp,Green,Bill,Local Councillor,418,1703,Elected,Yes,Yes,No
Faraday Tp,O'Donnell,John,Local Councillor,363,1703,Elected,No,No,No
Faraday Tp,Nicholson,Marg,Deputy Mayor,,,Acclaimed,Yes,Yes,No
Fauquier-Strickland Tp,Tremblay,Madeleine,Mayor,174,303,Elected,Yes,Yes,No
Fauquier-Strickland Tp,Brunet,Claude,Local Councillor,165,1220,Elected,No,No,No
Fauquier-Strickland Tp,Marcoux,Priscilla,Local Councillor,147,1220,Elected,No,No,No
Fauquier-Strickland Tp,Lamontagne,Pierre,Local Councillor,142,1220,Elected,No,No,No
Fauquier-Strickland Tp,Gendron,Jules,Local Councillor,132,1220,Elected,No,No,No
Fort Erie T,Redekop,Wayne,Mayor,6195,9210,Elected,Yes,Yes,No
Fort Erie T,McDermott,George P.,Local Councillor,627,1063,Elected,Yes,Yes,No
Fort Erie T,Dubanow,Nick,Local Councillor,713,1358,Elected,Yes,Yes,No
Fort Erie T,Flagg,Darren,Local Councillor,979,1602,Elected,No,No,No
Fort Erie T,Christensen,Joan,Local Councillor,689,1758,Elected,No,No,No
Fort Erie T,Lewis,Tom,Local Councillor,1319,1700,Elected,No,No,No
Fort Erie T,Noyes,Ann-Marie,Local Councillor,1047,1521,Elected,Yes,Yes,No
Fort Frances T,Hallikas,Andrew,Mayor,1573,2639,Elected,Yes,No,No
Fort Frances T,Behan,Mike,Local Councillor,1974,12248,Elected,Yes,Yes,No
Fort Frances T,Brunetta,Wendy,Local Councillor,2123,12248,Elected,Yes,Yes,No
Fort Frances T,McTaggart,John D.,Local Councillor,2068,12248,Elected,Yes,Yes,No
Fort Frances T,Kircher,David,Local Councillor,1854,12248,Elected,No,No,No
Fort Frances T,Maki,Steven,Local Councillor,1637,12248,Elected,No,No,No
Fort Frances T,Olson,Mandi,Local Councillor,1665,12248,Elected,No,No,No
French River M,Pageau,Gisèle,Mayor,,,Acclaimed,Yes,Yes,No
French River M,Landry,Roger,Local Councillor,,,Acclaimed,No,No,No
French River M,Prévost,Bob,Local Councillor,,,Acclaimed,Yes,Yes,No
French River M,Schneider,Willy,Local Councillor,115,226,Elected,No,No,No
French River M,Wenborne,Dean,Local Councillor,,,Acclaimed,Yes,Yes,No
French River M,Viau,David,Local Councillor,,,Acclaimed,Yes,Yes,No
French River M,Carrier,Renée,Local Councillor,,,Acclaimed,Yes,Yes,No
Front of Yonge Tp,Haley,Roger,Mayor,,,Acclaimed,Yes,Yes,
Front of Yonge Tp,Fancy,Margaret,Local Councillor,,,Acclaimed,Yes,Yes,
Front of Yonge Tp,Marcoux,Richard,Local Councillor,,,Acclaimed,Yes,Yes,
Front of Yonge Tp,Massey,Carson,Local Councillor,,,Acclaimed,Yes,Yes,
Front of Yonge Tp,Williams,Gail,Local Councillor,,,Acclaimed,Yes,Yes,
Frontenac Islands Tp,Greenwood-Speers,Judy,Mayor,672,1513,Elected,No,No,No
Frontenac Islands Tp,Hulton,Dan,Local Councillor,647,1903,Elected,No,No,No
Frontenac Islands Tp,Jablonicky,Mike,Local Councillor,316,1903,Elected,No,No,No
Frontenac Islands Tp,Ackley,Bob,Local Councillor,255,962,Elected,No,No,No
Frontenac Islands Tp,Saunders,Bill,Local Councillor,370,962,Elected,No,No,No
Gananoque ST,Beddows,John,Mayor,940,2060,Elected,No,No,No
Gananoque ST,Leakey,Vicki,Local Councillor,1305,9423,Elected,No,No,No
Gananoque ST,Osmond,David,Local Councillor,1174,9423,Elected,Yes,Yes,No
Gananoque ST,Koiner,Anne-Marie,Local Councillor,1113,9423,Elected,No,No,No
Gananoque ST,Brown,Colin,Local Councillor,1081,9423,Elected,No,No,No
Gananoque ST,Kirkby,Patrick,Local Councillor,1074,9423,Elected,No,No,No
Gananoque ST,Harper,Matt,Local Councillor,1032,9423,Elected,Yes,Yes,No
Gauthier Tp,Binnendyk,Paul,Reeve,,,Acclaimed,Yes,No,No
Gauthier Tp,Bowers,Kelly,Local Councillor,30,175,Elected,Yes,Yes,No
Gauthier Tp,Patel,Dixit,Local Councillor,41,175,Elected,No,No,No
Gauthier Tp,Quinn,Matthew,Local Councillor,46,175,Elected,Yes,Yes,No
Gauthier Tp,Savarie,Marie,Local Councillor,31,175,Elected,Yes,No,No
Georgian Bay Tp,Koetsier,Peter,Mayor,,,Acclaimed,Yes,Yes,No
Georgian Bay Tp,Predko,Steven,Local Councillor,,,Acclaimed,No,No,No
Georgian Bay Tp,Jarvis,Stephen,Local Councillor,,,Acclaimed,Yes,Yes,No
Georgian Bay Tp,Graziano,Kristian,Local Councillor,729,1411,Elected,No,No,No
Georgian Bay Tp,Hazelton,Allan,Local Councillor,,,Acclaimed,Yes,Yes,No
Georgian Bay Tp,Bochek,Brian,Local and District Councillor,,,Acclaimed,Yes,No,No
Georgian Bay Tp,Cooper,Peter,Local and District Councillor,,,Acclaimed,Yes,Yes,No
Georgian Bluffs Tp,Carleton,Sue,Mayor,1727,3658,Elected,Yes,No,No
Georgian Bluffs Tp,Moore Coburn,Cathy,Local Councillor,2423,14578,Elected,Yes,Yes,No
Georgian Bluffs Tp,Thompson,Ryan,Local Councillor,2518,14578,Elected,Yes,Yes,No
Georgian Bluffs Tp,Day,Tobin,Local Councillor,1912,14578,Elected,No,No,No
Georgian Bluffs Tp,Smith,Mike,Local Councillor,1963,14578,Elected,No,No,No
Georgian Bluffs Tp,Winters,Rick,Local Councillor,1734,14578,Elected,No,No,No
Georgian Bluffs Tp,Pringle,Grant,Deputy Mayor,,,Acclaimed,Yes,No,No
Georgina T,Quirk,Margaret,Mayor,4683,9910,Elected,Yes,Yes,No
Georgina T,Biggerstaff,Charlene,Local Councillor,896,1604,Elected,No,No,No
Georgina T,Fellini,Dan,Local Councillor,1048,2412,Elected,Yes,Yes,No
Georgina T,Neeson,Dave,Local Councillor,1150,2260,Elected,Yes,Yes,No
Georgina T,Kerr Genge,Dale,Local Councillor,884,2188,Elected,No,No,No
Georgina T,Dale,Lee,Local Councillor,923,1320,Elected,No,No,No
Georgina T,Davison,Naomi,Local and Regional Councillor,6640,9357,Elected,No,No,No
Gillies Tp,Wright,Wendy,Reeve,,,Acclaimed,Yes,Yes,No
Gillies Tp,Buitenhuis,Rudy,Local Councillor,85,373,Elected,Yes,Yes,No
Gillies Tp,Groenheide,William,Local Councillor,81,373,Elected,Yes,Yes,No
Gillies Tp,Jones,Elizabeth,Local Councillor,88,373,Elected,Yes,Yes,No
Gillies Tp,Valenthe,Daniel,Local Councillor,90,373,Elected,No,No,No
Goderich T,Murdock,Myles,Mayor,1844,3340,Elected,Yes,Yes,No
Goderich T,Petrie,Liz,Local Councillor,2632,14407,Elected,No,No,No
Goderich T,Segeren,Allison,Local Councillor,2241,14407,Elected,No,No,No
Goderich T,Thompson,John,Local Councillor,1409,14407,Elected,No,No,No
Goderich T,Carroll,Randy,Local Councillor,2158,14407,Elected,No,No,No
Goderich T,Noel,Leah,Local Councillor,2554,14407,Elected,No,No,No
Goderich T,Bazinet,Trevor,Deputy Mayor,1985,3320,Elected,Yes,No,No
Gordon-Barrie Island M,Hayden,Lee,Reeve,,,Acclaimed,Yes,Yes,No
Gordon-Barrie Island M,Bould,Jack,Local Councillor,,,Acclaimed,Yes,Yes,No
Gordon-Barrie Island M,Runnalls,Cameron,Local Councillor,,,Acclaimed,Yes,Yes,No
Gordon-Barrie Island M,Harry,Isobel,Local Councillor,,,Acclaimed,No,No,No
Gordon-Barrie Island M,Wright,Brad,Local Councillor,,,Acclaimed,No,No,No
Gore Bay T,Lane,Ron,Mayor,161,263,Elected,No,No,No
Gore Bay T,Chaytor,Kelly,Local Councillor,181,1152,Elected,No,No,No
Gore Bay T,Nodecker,Paulie,Local Councillor,192,1152,Elected,Yes,Yes,No
Gore Bay T,Olmstead,Terry,Local Councillor,199,1152,Elected,No,No,No
Gore Bay T,Osborne,Dan,Local Councillor,187,1152,Elected,Yes,No,No
Gore Bay T,Woestenenk,Leeanne,Local Councillor,207,1152,Elected,Yes,Yes,No
Gore Bay T,Wright,Aaron,Local Councillor,186,1152,Elected,Yes,Yes,No
Grand Valley T,Soloman,Steve,Mayor,,,Acclaimed,Yes,Yes,No
Grand Valley T,Latam,Paul,Local Councillor,461,1608,Elected,Yes,Yes,No
Grand Valley T,Dart,Lorne,Local Councillor,411,1608,Elected,No,No,No
Grand Valley T,Jonker,James W,Local Councillor,396,1608,Elected,No,No,No
Grand Valley T,Rentsch,Philip,Deputy Mayor,,,Acclaimed,Yes,Yes,No
Gravenhurst T,Lorenz,Heidi,Mayor,2155,4922,Elected,Yes,No,No
Gravenhurst T,Varney,Penny,Local Councillor,931,1411,Elected,Yes,Yes,No
Gravenhurst T,Morphy,Jo,Local Councillor,,,Acclaimed,Yes,Yes,No
Gravenhurst T,Robinson,Michelle,Local Councillor,642,887,Elected,No,No,No
Gravenhurst T,Jorgensen,Randy,Local Councillor,505,704,Elected,No,No,No
Gravenhurst T,Hunter,Christina,Local Councillor,742,1193,Elected,No,No,No
Gravenhurst T,Cairns,Sandy,Local and District Councillor,3186,4922,Elected,Yes,Yes,No
Gravenhurst T,Strength,Erin,Local and District Councillor,2005,4922,Elected,No,No,No
Gravenhurst T,Johnston,Peter,Local and District Councillor,1833,4922,Elected,No,No,No
Greater Madawaska Tp,Weir,Rob,Mayor,866,1800,Elected,No,No,No
Greater Madawaska Tp,Levesque,Jeff,Local Councillor,751,2292,Elected,No,No,No
Greater Madawaska Tp,Tripp,Rob,Local Councillor,852,2292,Elected,No,No,No
Greater Madawaska Tp,Popkie,Taylor,Local Councillor,,,Acclaimed,No,No,No
Greater Madawaska Tp,Thomson,Lois,Local Councillor,148,342,Elected,No,No,No
Greater Napanee T,Richardson,Terry,Mayor,,,Acclaimed,Yes,No,No
Greater Napanee T,Schenk,Michael,Local Councillor,610,1051,Elected,No,No,No
Greater Napanee T,Hicks,Angela,Local Councillor,429,949,Elected,No,No,No
Greater Napanee T,Pinnell Jr.,Dave,Local Councillor,388,1154,Elected,Yes,Yes,No
Greater Napanee T,Norrie,Bob,Local Councillor,391,854,Elected,Yes,Yes,No
Greater Napanee T,Martin,Bill,Local Councillor,285,714,Elected,No,No,No
Greater Napanee T,Calver,Brian,Deputy Mayor,2402,4742,Elected,No,No,No
Greater Sudbury C,Lefebvre,Paul,Mayor,26187,49941,Elected,No,No,No
Greater Sudbury C,Signoretti,Mark,Local Councillor,2000,4117,Elected,Yes,Yes,No
Greater Sudbury C,Vagnini,Michael,Local Councillor,2830,4644,Elected,Yes,Yes,No
Greater Sudbury C,Montpellier,Germain,Local Councillor,2373,3742,Elected,Yes,Yes,No
Greater Sudbury C,Fortin,Pauline,Local Councillor,1972,3998,Elected,No,No,No
Greater Sudbury C,Parent,Michel,Local Councillor,3055,3768,Elected,No,No,No
Greater Sudbury C,Lapierre,René,Local Councillor,1451,4410,Elected,Yes,Yes,No
Greater Sudbury C,Labbée,Natalie,Local Councillor,2192,4022,Elected,No,No,No
Greater Sudbury C,Sizer,Al,Local Councillor,1412,3583,Elected,Yes,Yes,No
Greater Sudbury C,McIntosh,Deb,Local Councillor,2930,4760,Elected,Yes,Yes,No
Greater Sudbury C,Cormier,Fern,Local Councillor,2844,4758,Elected,Yes,Yes,No
Greater Sudbury C,Leduc,Bill,Local Councillor,3002,4483,Elected,Yes,Yes,No
Greater Sudbury C,Landry-Altmann,Joscelyne,Local Councillor,1609,3259,Elected,Yes,Yes,No
Greenstone M,McPherson,James,Mayor,,,Acclaimed,Yes,No,No
Greenstone M,Budge,Vicky,Local Councillor,51,82,Elected,No,No,No
Greenstone M,Pietsch,Eric,Local Councillor,,,Acclaimed,No,No,No
Greenstone M,Walterson,Chris,Local Councillor,,,Acclaimed,Yes,Yes,No
Greenstone M,Mannisto,Elaine,Local Councillor,222,533,Elected,Yes,Yes,No
Greenstone M,Ouellet,Alan,Local Councillor,227,533,Elected,No,No,No
Greenstone M,Trottier,Claudette,Local Councillor,,,Acclaimed,Yes,Yes,No
Greenstone M,Donovan,Matthew,Local Councillor,,,Acclaimed,Yes,Yes,No
Greenstone M,Koning,Fran,Local Councillor,65,106,Elected,No,No,No
Grey Highlands M,McQueen,Paul,Mayor,2346,3580,Elected,Yes,Yes,No
Grey Highlands M,Allen,Paul,Local Councillor,2072,15477,Elected,Yes,Yes,No
Grey Highlands M,Allwood,Tom,Local Councillor,1514,15477,Elected,Yes,Yes,No
Grey Highlands M,Wickens,Dan,Local Councillor,1155,15477,Elected,No,No,No
Grey Highlands M,Loughead,Joel,Local Councillor,1450,15477,Elected,No,No,No
Grey Highlands M,Dubyk,Nadia,Local Councillor,1626,15477,Elected,No,No,No
Grey Highlands M,Nielsen,Dane,Deputy Mayor,1793,3405,Elected,Yes,No,No
Grimsby T,Jordan,Jeff,Mayor,7193,8902,Elected,Yes,Yes,No
Grimsby T,Davoli,Delight,Local Councillor,1966,4475,Elected,No,No,No
Grimsby T,Freake,Reg,Local Councillor,1611,4475,Elected,Yes,Yes,No
Grimsby T,Howe,Don,Local Councillor,1700,5429,Elected,No,No,No
Grimsby T,Vardy,Lianne,Local Councillor,2011,5428,Elected,Yes,Yes,No
Grimsby T,Charrois,Veronica,Local Councillor,1415,4800,Elected,No,No,No
Grimsby T,Korstanje,Jennifer,Local Councillor,1338,4800,Elected,No,No,No
Grimsby T,Baradziej,Jacob,Local Councillor,362,1669,Elected,No,No,No
Grimsby T,DiFlavio,Nick,Local Councillor,435,1668,Elected,Yes,Yes,No
Guelph C,Guthrie,Cam,Mayor,20357,28586,Elected,Yes,Yes,
Guelph C,Allt,Phil,Local Councillor,3228,8232,Elected,Yes,Yes,
Guelph C,Billings,Christine,Local Councillor,2202,7330,Elected,Yes,Yes,
Guelph C,Downer,Cathy,Local Councillor,2809,8179,Elected,Yes,Yes,
Guelph C,Gibson,Dan,Local Councillor,2375,7633,Elected,Yes,Yes,
Guelph C,Goller,Rodrigo,Local Councillor,3498,11410,Elected,Yes,Yes,
Guelph C,O'Rourke,Dominique,Local Councillor,3330,9248,Elected,Yes,Yes,
Guelph C,Caron Piper,Leanne,Local Councillor,2870,8179,Elected,Yes,Yes,
Guelph C,Caton,Erin,Local Councillor,1418,7633,Elected,No,No,
Guelph C,Klassen,Carly,Local Councillor,3105,11410,Elected,No,No,
Guelph C,Richardson,Michele,Local Councillor,1362,8232,Elected,No,No,
Guelph C,Busuttil,Linda,Local Councillor,1685,7330,Elected,No,No,
Guelph C,Yee Chew,Ken,Local Councillor,2624,9248,Elected,No,No,
Guelph-Eramosa Tp,White,Chris,Mayor,,,Acclaimed,Yes,Yes,No
Guelph-Eramosa Tp,Liebig,Steven,Local Councillor,718,1024,Elected,Yes,Yes,No
Guelph-Eramosa Tp,Bouwmeester,Mark,Local Councillor,,,Acclaimed,Yes,Yes,No
Guelph-Eramosa Tp,Dickieson,Bruce,Local Councillor,341,538,Elected,Yes,Yes,No
Guelph-Eramosa Tp,Woods,Corey,Local Councillor,237,485,Elected,Yes,Yes,No
Haldimand County,Bentley,Shelley Ann,Mayor,4760,14832,Elected,No,No,No
Haldimand County,Lawrence,Dan,Local Councillor,1731,3526,Elected,Yes,Yes,No
Haldimand County,Metcalfe,John,Local Councillor,1502,2218,Elected,Yes,Yes,No
Haldimand County,Patterson,Stewart,Local Councillor,,,Acclaimed,Yes,Yes,No
Haldimand County,Shirton,Rob,Local Councillor,925,1745,Elected,Yes,Yes,No
Haldimand County,Stam,Natalie,Local Councillor,1899,2896,Elected,No,No,No
Haldimand County,O'Neill,Patrick,Local Councillor,1003,2155,Elected,No,No,No
Halton Hills T,Lawlor,Ann,Mayor,5323,13089,Elected,Yes,No,No
Halton Hills T,Albano,Michael,Local Councillor,1237,3957,Elected,Yes,Yes,No
Halton Hills T,Hilson,Alex,Local Councillor,1627,3957,Elected,No,No,No
Halton Hills T,Brass,Jason,Local Councillor,854,4119,Elected,No,No,No
Halton Hills T,Racinsky,Joseph,Local Councillor,771,4119,Elected,No,No,No
Halton Hills T,Garneau,Chantal,Local Councillor,1982,6230,Elected,No,No,No
Halton Hills T,Norris,Ron,Local Councillor,1507,6230,Elected,No,No,No
Halton Hills T,Inglis,Bob,Local Councillor,2783,6518,Elected,Yes,Yes,No
Halton Hills T,Keene,D'Arcy,Local Councillor,2180,6518,Elected,No,No,No
Halton Hills T,Somerville,Clark,Local and Regional Councillor,,,Acclaimed,Yes,Yes,No
Halton Hills T,Fogal,Jane,Local and Regional Councillor,4355,7969,Elected,Yes,Yes,No
Hamilton C,Horwath,Andrea,Mayor,59216,142058,Elected,No,No,No
Hamilton C,Wilson,Maureen,Local Councillor,6610,8818,Elected,Yes,Yes,No
Hamilton C,Kroetsch,Cameron,Local Councillor,3619,7348,Elected,No,No,No
Hamilton C,Nann,Nrinder,Local Councillor,4334,8612,Elected,Yes,Yes,No
Hamilton C,Hwang,Tammy,Local Councillor,2101,9136,Elected,No,No,No
Hamilton C,Francis,Matt,Local Councillor,4239,9720,Elected,No,No,No
Hamilton C,Jackson,Tom,Local Councillor,6326,9970,Elected,Yes,Yes,No
Hamilton C,Pauls,Esther,Local Councillor,6043,11869,Elected,Yes,Yes,No
Hamilton C,Danko,John-Paul,Local Councillor,5274,8482,Elected,Yes,Yes,No
Hamilton C,Clark,Brad,Local Councillor,3622,7025,Elected,Yes,Yes,No
Hamilton C,Beattie,Jeff,Local Councillor,4236,10672,Elected,No,No,No
Hamilton C,Tadeson,Mark,Local Councillor,2829,7446,Elected,No,No,No
Hamilton C,Cassar,Craig,Local Councillor,4960,12785,Elected,No,No,No
Hamilton C,Wilson,Alex,Local Councillor,7038,12148,Elected,No,No,No
Hamilton C,Spadafora,Mike,Local Councillor,2610,9164,Elected,No,No,No
Hamilton C,McMeekin,Ted,Local Councillor,3091,7052,Elected,No,No,No
Hamilton Tp,Jibb,Scott,Mayor,,,Acclaimed,Yes,No,No
Hamilton Tp,Lovshin,Mark,Local Councillor,1512,6909,Elected,Yes,Yes,No
Hamilton Tp,Davison,John,Local Councillor,1487,6909,Elected,No,No,No
Hamilton Tp,Buttar,Bruce,Local Councillor,1179,6909,Elected,No,No,No
Hamilton Tp,Williamson,Larry,Deputy Mayor,1337,2596,Elected,Yes,No,No
Hanover T,Paterson,Sue,Mayor,1881,2399,Elected,Yes,Yes,No
Hanover T,Fleet,Harold,Local Councillor,1846,2399,Elected,Yes,Yes,No
Hanover T,Hocking,Dave,Local Councillor,1554,2399,Elected,Yes,Yes,No
Hanover T,Hudson,Carol,Local Councillor,1530,2399,Elected,No,No,No
Hanover T,Koebel,Brandon,Local Councillor,2065,2399,Elected,Yes,Yes,No
Hanover T,Sakal,Susan,Local Councillor,1649,2399,Elected,No,No,No
Hanover T,Dickert,Warren,Deputy Mayor,1317,2399,Elected,Yes,No,No
Harley Tp,Archambault,Pauline,Reeve,,,Acclaimed,Yes,Yes,No
Harley Tp,Fielder,Clifford,Local Councillor,44,217,Elected,Yes,Yes,No
Harley Tp,Gosselin,Marc,Local Councillor,59,217,Elected,Yes,Yes,No
Harley Tp,MacKewn,Sophie,Local Councillor,50,217,Elected,No,No,No
Harley Tp,McNaughton,Richard,Local Councillor,45,217,Elected,Yes,Yes,No
Harris Tp,Despres,Chantal,Reeve,83,113,Elected,Yes,Yes,No
Harris Tp,Brownlee,Brian,Local Councillor,,,Acclaimed,No,No,
Harris Tp,Gauvreau,Jose,Local Councillor,,,Acclaimed,No,No,
Harris Tp,Pressault,Genevieve,Local Councillor,,,Acclaimed,Yes,Yes,
Harris Tp,Sutton,Ronald,Local Councillor,,,Acclaimed,Yes,Yes,
