Honorific,First name,Last name,Gender,Office type,Address,City,Province,Postal code,Office email,Email,Telephone,Fax,Toll-free,TTY,Riding name,Party,Parliamentary role,Member ID
,Effie J.,Triantafilopoulos,Female ,Constituency office,"Unit 570
2525 Old Bronte Rd.
",Oakville,ON,L6M 4J2,,Effie.Triantafilopoulos@pc.ola.org,905-825-2455,905-825-0663,,,Oakville North—Burlington,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Economic Development, Job Creation and Trade",7499
Hon.,Michael A.,Tibollo,Male ,Ministry office,"Ministry of Health
Frost South
6th Floor
7 Queens Park Circle
",Toronto,ON,M7A 1Y7,,,416-327-4300,,,,Vaughan—Woodbridge,Progressive Conservative Party of Ontario,Associate Minister of Mental Health and Addictions,7519
Hon.,Michael A.,Tibollo,Male ,Constituency office,"Unit 3
5100 Rutherford Rd.
",Woodbridge,ON,L4H 2J2,Michael.Tibolloco@pc.ola.org,,905-893-4428,905-893-4537,,,Vaughan—Woodbridge,Progressive Conservative Party of Ontario,Associate Minister of Mental Health and Addictions,7519
,Catherine,Fife,Female ,Constituency office,"Suite 220
100 Regina St. S
",Waterloo,ON,N2J 4P9,,CFife-QP@ndp.on.ca,519-725-3477,519-725-3667,,,Waterloo,New Democratic Party of Ontario,,7204
,Catherine,Fife,Female ,Legislative office,"Room 370
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,CFife-QP@ndp.on.ca,416-325-6913,416-325-6942,,,Waterloo,New Democratic Party of Ontario,,7204
Hon.,Lisa,Thompson,Female ,Ministry office,"Ministry of Agriculture, Food and Rural Affairs
11th Floor
77 Grenville St.
",Toronto,ON,M5S 1B3,,Lisa.Thompson@pc.ola.org,416-326-3074,,,,Huron—Bruce,Progressive Conservative Party of Ontario,"Minister of Agriculture, Food and Rural Affairs",7179
Hon.,Lisa,Thompson,Female ,Constituency office,"408 Queen St.
P.O. Box 426
",Blyth,ON,N0M 1H0,Lisa.Thompsonco@pc.ola.org,Lisa.Thompson@pc.ola.org,519-523-4251,226-523-9296,,,Huron—Bruce,Progressive Conservative Party of Ontario,"Minister of Agriculture, Food and Rural Affairs",7179
Hon.,Lisa,Thompson,Female ,Constituency office,"Unit 2
807 Queen St.
",Kincardine,ON,N2Z 2Y2,Lisa.Thompsonco@pc.ola.org,Lisa.Thompson@pc.ola.org,519-396-3007,519-396-3011,1-866-396-3007,,Huron—Bruce,Progressive Conservative Party of Ontario,"Minister of Agriculture, Food and Rural Affairs",7179
,Sol,Mamakwa,Male ,Constituency office,"Unit 104
73 King St.
P.O. Box 176
",Sioux Lookout,ON,P8T 1A1,SMamakwa-CO@ndp.on.ca,,807-737-2210,807-737-1592,1-888-444-1723,,Kiiwetinoong,New Democratic Party of Ontario,,7477
,Sol,Mamakwa,Male ,Constituency office,"Unit 4
14 Discovery Rd.
P.O. Box 855
",Red Lake,ON,P0V 2M0,SMamakwa-CO@ndp.on.ca,,807-727-1133,,,,Kiiwetinoong,New Democratic Party of Ontario,,7477
,Sol,Mamakwa,Male ,Legislative office,"Room 201
North Wing, Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,SMamakwa-QP@ndp.on.ca,,416-326-7692 ,416-326-7690,,,Kiiwetinoong,New Democratic Party of Ontario,,7477
,Vijay,Thanigasalam,Male ,Ministry office,"Ministry of Infrastructure
4th Floor
777 Bay St.
",Toronto,ON,M7A 2J3,,Vijay.Thanigasalam@pc.ola.org,,,,,Scarborough—Rouge Park,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Infrastructure,7511
,Vijay,Thanigasalam,Male ,Constituency office,"Unit 105
8130 Sheppard Ave. E
",Toronto,ON,M1B 3W3,,Vijay.Thanigasalam@pc.ola.org,416-283-8448,416-283-1597,,,Scarborough—Rouge Park,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Infrastructure,7511
,Monique,Taylor,Female ,Constituency office,"Unit 202
555 Concession St.
",Hamilton,ON,L8V 1A8,MTaylor-CO@ndp.on.ca,MTaylor-QP@ndp.on.ca,905-388-9734,905-388-7862,,,Hamilton Mountain,New Democratic Party of Ontario,,7178
,Monique,Taylor,Female ,Legislative office,"Room 357
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,MTaylor-QP@ndp.on.ca,416-325-1796,416-325-1863,,,Hamilton Mountain,New Democratic Party of Ontario,,7178
,Nina,Tangri,Female ,Legislative office,"Room 416
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,Nina.Tangri@pc.ola.org,416-325-0153,,,,Mississauga—Streetsville,Progressive Conservative Party of Ontario,,7494
,Nina,Tangri,Female ,Constituency office,"Unit 110
154 Queen St. S
",Mississauga,ON,L5M 2P4,,Nina.Tangri@pc.ola.org,905-569-1643,905-569-6416,,,Mississauga—Streetsville,Progressive Conservative Party of Ontario,,7494
,Jess,Dixon,Female ,Ministry office,"Ministry of Energy
10th Floor
77 Grenville Ave.
",Toronto,ON,M5S 1B1,,Jess.Dixon@pc.ola.org,,,,,Kitchener South—Hespeler,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Energy,7603
,Jess,Dixon,Female ,Constituency office,"Building A
Unit 11
260 Holiday Inn Dr.
",Cambridge,ON,N3C 2E8,,Jess.Dixon@pc.ola.org,519-650-9413,519-650-7006,,,Kitchener South—Hespeler,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Energy,7603
,Peter,Tabuns,Male ,Constituency office,"923 Danforth Ave.
",Toronto,ON,M4J 1L8,tabunsp-co@ndp.on.ca,tabunsp-qp@ndp.on.ca,416-461-0223,416-461-9542,,,Toronto—Danforth,New Democratic Party of Ontario,,7041
,Peter,Tabuns,Male ,Legislative office,"Room 381
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,tabunsp-qp@ndp.on.ca,416-325-3250,,,,Toronto—Danforth,New Democratic Party of Ontario,,7041
Hon.,Victor,Fedeli,Male ,Ministry office,"Ministry of Economic Development, Job Creation, and Trade
18th Floor
777 Bay St.
",Toronto,ON,M5B 2H7,,Vic.Fedeli@pc.ola.org,416-326-8475,,,,Nipissing,Progressive Conservative Party of Ontario,"Chair of Cabinet; Minister of Economic Development, Job Creation and Trade",7185
Hon.,Victor,Fedeli,Male ,Constituency office,"219 Main St. E
",North Bay,ON,P1B 1B2,Vic.Fedelico@pc.ola.org,Vic.Fedeli@pc.ola.org,705-474-8340,705-474-9747,,,Nipissing,Progressive Conservative Party of Ontario,"Chair of Cabinet; Minister of Economic Development, Job Creation and Trade",7185
,Dawn,Gallagher Murphy,Female ,Ministry office,"Ministry of Health
5th Floor
777 Bay St.
",Toronto,ON,M7A 1Z8,,Dawn.GallagherMurphy@pc.ola.org,,,,,Newmarket—Aurora,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Health,7605
,Dawn,Gallagher Murphy,Female ,Constituency office,"Unit 22
16635 Yonge St.
",Newmarket,ON,L3X 1V6,,Dawn.GallagherMurphy@pc.ola.org,905-853-9889,905-853-6115,1-800-211-1881,,Newmarket—Aurora,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Health,7605
Hon.,Jill,Dunlop,Female ,Ministry office,"Ministry of Colleges and Universities
5th Floor
438 University Ave.
",Toronto,ON,M5G 2K8,,Jill.Dunlop@pc.ola.org, 416-326-1600,,,,Simcoe North,Progressive Conservative Party of Ontario,Minister of Colleges and Universities,7512
Hon.,Jill,Dunlop,Female ,Constituency office,"Unit 9

575 West St. S
",Orillia,Ontario,L3V 7N6,,Jill.Dunlop@pc.ola.org, 705-326-3246,, 1-800-304-7341,,Simcoe North,Progressive Conservative Party of Ontario,Minister of Colleges and Universities,7512
,Mike,Harris,Male ,Ministry office,"Ministry of Legislative Affairs
Whitney Block
Room 1307A
99 Wellesley St.
",Toronto,ON,M7A 1A1,,Mike.Harris@pc.ola.org,,,,,Kitchener—Conestoga,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Legislative Affairs,7482
,Mike,Harris,Male ,Constituency office,"Unit 3 &amp; 4
63 Arthur St. S
",Elmira,ON,N3B 2M6,Mike.Harrisco@pc.ola.org,Mike.Harris@pc.ola.org,519-669-2090  ,519-669-0476  ,,,Kitchener—Conestoga,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Legislative Affairs,7482
,Joel,Harden,Male ,Constituency office,"109 Catherine St.
",Ottawa,ON,K2P 0P4,JHarden-CO@ndp.on.ca,,613-722-6414 ,613-722-6703,,,Ottawa Centre,New Democratic Party of Ontario,,7500
,Joel,Harden,Male ,Legislative office,"Room 328
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,JHarden-QP@ndp.on.ca,,416-326-7648  ,416-326-7639,,,Ottawa Centre,New Democratic Party of Ontario,,7500
,Ernie,Hardeman,Male ,Constituency office,"12 Perry St.
",Woodstock,ON,N4S 3C2,Ernie.Hardemanco@pc.ola.org,Ernie.Hardeman@pc.ola.org,519-537-5222,519-537-3577 ,1-800-265-4046,,Oxford,Progressive Conservative Party of Ontario,,43
,Ernie,Hardeman,Male ,Legislative office,"Room 436
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,,Ernie.Hardeman@pc.ola.org,416-325-0224,,,,Oxford,Progressive Conservative Party of Ontario,,43
,Lisa,Gretzky,Female ,Constituency office,"2443 Dougall Ave.
",Windsor ,ON,N8X 1T3,LGretzky-CO@ndp.on.ca,LGretzky-QP@ndp.on.ca,519-977-7191 ,519-977-7029,,,Windsor West,New Democratic Party of Ontario,,7288
,Lisa,Gretzky,Female ,Legislative office,"Room 324
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,LGretzky-QP@ndp.on.ca,416-325-0235 ,416-325-0873,,,Windsor West,New Democratic Party of Ontario,,7288
Hon.,Doug,Downey,Male ,Ministry office,"Ministry of the Attorney General
McMurtry-Scott Building
11th Floor
720 Bay St.
",Toronto,ON,M7A 2S9,,Doug.Downey@pc.ola.org, 416-326-2220,,,,Barrie—Springwater—Oro-Medonte,Progressive Conservative Party of Ontario,Attorney General,7450
Hon.,Doug,Downey,Male ,Constituency office,"Unit 14
20 Bell Farm Rd.
",Barrie,ON,L4M 6E4,,Doug.Downey@pc.ola.org,705-726-5538,705-726-2880,,,Barrie—Springwater—Oro-Medonte,Progressive Conservative Party of Ontario,Attorney General,7450
,Rudy,Cuzzetto,Male ,Constituency office,"Unit 1 &amp; 2
120 Lakeshore Rd. W
",Mississauga,ON,L5H 1E8,Rudy.Cuzzettoco@pc.ola.org,Rudy.Cuzzetto@pc.ola.org,905-274-8228,905-274-8552,,,Mississauga—Lakeshore,Progressive Conservative Party of Ontario,Parliamentary Assistant to the President of the Treasury Board,7492
,Rudy,Cuzzetto,Male ,Ministry office,"Treasury Board Secretariat
Whitney Block
Room 5340
5th Floor
99 Wellesley St. W
",Toronto,ON,M7A 1W3,,Rudy.Cuzzetto@pc.ola.org,,,,,Mississauga—Lakeshore,Progressive Conservative Party of Ontario,Parliamentary Assistant to the President of the Treasury Board,7492
,Lise,Vaugeois,Female ,Constituency office,"272 Park Ave.
",Thunder Bay,ON,P7B 1C5,LVaugeois-CO@ndp.on.ca,LVaugeois-QP@ndp.on.ca,807-345-3647  ,807-345-2922  ,,,Thunder Bay—Superior North,New Democratic Party of Ontario,,7614
,Lise,Vaugeois,Female ,Legislative office,"Room 203
North Wing, Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A4,,LVaugeois-QP@ndp.on.ca,416-325-0069,,,,Thunder Bay—Superior North,New Democratic Party of Ontario,,7614
,Stephen,Crawford,Male ,Ministry office,"Ministry of Finance
Frost Building South
7th Floor
7 Queen's Park Cres.
",Toronto,ON,M7A 1Y7,,Stephen.Crawford@pc.ola.org,,,,,Oakville,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Finance,7498
,Stephen,Crawford,Male ,Constituency office,"Unit 1
74 Rebecca St.
",Oakville,ON,L6K 1J2,,Stephen.Crawford@pc.ola.org,905-827-5141,905-827-3786,,,Oakville,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Finance,7498
,Adil,Shamji,Male ,Constituency office,"Suite L02
1200 Lawrence Ave. E
",Toronto,ON,M3A 1C1,ashamji.mpp.co@liberal.ola.org,,416-494-6856,416-494-9937,,,Don Valley East,Ontario Liberal Party,,7593
Hon.,Prabmeet Singh,Sarkaria,Male ,Ministry office,"Treasury Board Secretariat
Whitney Block
Room 4320
4th Floor
99 Wellesley St. W
",Toronto,ON,M7A 1W3,,Prabmeet.Sarkaria@pc.ola.org,416-327-2333,,,,Brampton South,Progressive Conservative Party of Ontario,President of the Treasury Board,7455
Hon.,Prabmeet Singh,Sarkaria,Male ,Constituency office,"Unit 402
7700 Hurontario St.
",Brampton,ON,L6Y 4M3,,Prabmeet.Sarkaria@pc.ola.org,905-796-8669, 905-796-8069,,,Brampton South,Progressive Conservative Party of Ontario,President of the Treasury Board,7455
,Amarjot,Sandhu,Male ,Ministry office,"Ministry of Infrastructure
4th Floor
777 Bay St.
",Toronto,ON,M7A 2J3,,Amarjot.Sandhu@pc.ola.org,,,,,Brampton West,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Infrastructure,7456
,Amarjot,Sandhu,Male ,Constituency office,"Unit 309
10 Gillingham Dr.
",Brampton,ON,L6X 0G6,Amarjot.Sandhuco@pc.ola.org,Amarjot.Sandhu@pc.ola.org,905-595-1532,905-451-8496,,,Brampton West,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Infrastructure,7456
,Chris,Glover,Male ,Constituency office,"Unit A
226 Bathurst St.
",Toronto,ON,M5T 2R9,CGlover-CO@ndp.on.ca,,416-603-9664  ,416-603-1214  ,,,Spadina—Fort York,New Democratic Party of Ontario,,7513
,Chris,Glover,Male ,Legislative office,"Room 241
North Wing, Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,,,416-326-7196  ,416-326-7172  ,,,Spadina—Fort York,New Democratic Party of Ontario,,7513
,Lorne,Coe,Male ,Ministry office,"Premier's Office
Whitney Block
Room 6522
99 Wellesley St. W
",Toronto,ON,M7A 1W3,,Lorne.Coe@pc.ola.org,,,,,Whitby,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Premier,7344
,Lorne,Coe,Male ,Constituency office,"Suite 101
114 Dundas St. E
",Whitby,ON,L1N 2H7,,Lorne.Coe@pc.ola.org,905-430-1141 ,905-430-1840,,,Whitby,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Premier,7344
,Sheref,Sabawy,Male ,Ministry office,"Ministry of Tourism, Culture and Sport
6th Floor
438 University Ave.
",Toronto,ON,M5G 2K8,,Sheref.Sabawy@pc.ola.org,,,,,Mississauga—Erin Mills,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Tourism, Culture and Sport",7491
,Sheref,Sabawy,Male ,Constituency office,"Unit 40
4181 Sladeview Cres
",Mississauga,ON,L5L 5R2,,Sheref.Sabawy@pc.ola.org,905-820-8851,905-820-4307,,,Mississauga—Erin Mills,Progressive Conservative Party of Ontario,"Parliamentary Assistant to the Minister of Tourism, Culture and Sport",7491
Hon.,Kinga,Surma,Female ,Ministry office,"Ministry of Infrastructure
5th Floor
777 Bay St.
",Toronto,ON,M7A 2J3,,Kinga.Surma@pc.ola.org,416-327-4412,,,,Etobicoke Centre,Progressive Conservative Party of Ontario,Minister of Infrastructure,7467
Hon.,Kinga,Surma,Female ,Constituency office,"Lloydmanor Shopping Centre
Unit 102
201 Lloyd Manor Rd.
",Etobicoke,ON,M9B 6H6,Kinga.Surmaco@pc.ola.org,Kinga.Surma@pc.ola.org,416-234-2800,416-234-2276,,,Etobicoke Centre,Progressive Conservative Party of Ontario,Minister of Infrastructure,7467
,Ross,Romano,Male ,Legislative office,"Room 249
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,Ross.Romano@pc.ola.org,416-325-0109,,,,Sault Ste. Marie,Progressive Conservative Party of Ontario,,7424
,Ross,Romano,Male ,Constituency office,"Suite 102
390 Bay St.
",Sault Ste Marie,ON,P6A 1X2,Ross.Romanoco@pc.ola.org,Ross.Romano@pc.ola.org,705-949-6959,705-946-6269,,,Sault Ste. Marie,Progressive Conservative Party of Ontario,,7424
,Marit,Stiles,Female ,Legislative office,"Room 465
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,MStiles-QP@ndp.on.ca,416-326-7202,,,,Davenport,New Democratic Party of Ontario,,7460
,Marit,Stiles,Female ,Constituency office,"1199 Bloor St. W
",Toronto,ON,M6H 1N4,MStiles-CO@ndp.on.ca,MStiles-QP@ndp.on.ca,416-535-3158,416-535-6587,,,Davenport,New Democratic Party of Ontario,,7460
,Chandra,Pasma,Female ,Legislative office,"Room 206
North Wing, Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,CPasma-QP@ndp.on.ca,416-325-3001,,,,Ottawa West—Nepean,New Democratic Party of Ontario,,7606
,Chandra,Pasma,Female ,Constituency office,"Unit 500
1580 Merivale Rd.
",Nepean,ON,K2G 4B5,CPasma-CO@ndp.on.ca,CPasma-QP@ndp.on.ca,613-721-8075,613-721-5756,,,Ottawa West—Nepean,New Democratic Party of Ontario,,7606
,Jennifer (Jennie),Stevens,Female ,Constituency office,"Unit B
209 Carlton St.
",St. Catharines,ON,L2R 1S1,JStevens-CO@ndp.on.ca,JStevens-QP@ndp.on.ca,905-935-0018,905-935-0191,,,St. Catharines,New Democratic Party of Ontario,,7514
,Jennifer (Jennie),Stevens,Female ,Legislative office,"Room 387
Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,JStevens-QP@ndp.on.ca,JStevens-QP@ndp.on.ca,416-326-7127,416-326-7126,,,St. Catharines,New Democratic Party of Ontario,,7514
Hon.,Steve,Clark,Male ,Ministry office,"Ministry of&nbsp;Municipal Affairs and Housing
17th Floor
777 Bay St.
",Toronto,ON,M7A 2J3,,Steve.Clark@pc.ola.org,416-585-7000,,,,Leeds—Grenville—Thousand Islands and Rideau Lakes,Progressive Conservative Party of Ontario,Minister of Municipal Affairs and Housing,7146
Hon.,Steve,Clark,Male ,Constituency office,"Suite 101
100 Strowger Blvd.
",Brockville,ON,K6V 5J9,,Steve.Clark@pc.ola.org,613-342-9522,613-342-2501,1-800-267-4408,,Leeds—Grenville—Thousand Islands and Rideau Lakes,Progressive Conservative Party of Ontario,Minister of Municipal Affairs and Housing,7146
Hon.,Todd,Smith,Male ,Ministry office,"Ministry of Energy
10th Floor
77 Grenville Ave.
",Toronto,ON,M5S 1B1,,,416-327-6758,,,,Bay of Quinte,Progressive Conservative Party of Ontario,Minister of Energy,7189
Hon.,Todd,Smith,Male ,Constituency office,"Unit 8
5503 Hwy. 62 S
",Belleville,ON,K8N 0L5,Todd.Smithco@pc.ola.org,,613-962-1144,613-969-6381,,,Bay of Quinte,Progressive Conservative Party of Ontario,Minister of Energy,7189
Hon.,Stan,Cho,Male ,Ministry office,"Ministry of Transportation
5th Floor
777 Bay St.
",Toronto,ON,M7A 1Z8,,Stan.Cho@pc.ola.org,,,,,Willowdale,Progressive Conservative Party of Ontario,Associate Minister of Transportation,7520
Hon.,Stan,Cho,Male ,Constituency office,"111 Sheppard Ave. W
",North York,ON,M2N 1M7,,Stan.Cho@pc.ola.org,416-733-7878,416-733-7709,,,Willowdale,Progressive Conservative Party of Ontario,Associate Minister of Transportation,7520
,Dave,Smith,Male ,Ministry office,"Ministry of Northern Development
4th Floor
160 Bloor St. E
",Toronto,ON,M7A 2E6,,Dave.Smith@pc.ola.org,,,,,Peterborough—Kawartha,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Indigenous Affairs; Parliamentary Assistant to the Minister of Northern Development,7525
,Dave,Smith,Male ,Ministry office,"Ministry of Indigenous Affairs
4th Floor
160 Bloor St. E
",Toronto,ON,M7A 2E6,,Dave.Smith@pc.ola.org,,,,,Peterborough—Kawartha,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Indigenous Affairs; Parliamentary Assistant to the Minister of Northern Development,7525
,Dave,Smith,Male ,Constituency office,"Unit E

864 Chemong Rd.
",Peterborough,ON,K9H 5Z8,dave.smithco@pc.ola.org,Dave.Smith@pc.ola.org,705-742-3777,705-742-1822,,,Peterborough—Kawartha,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Indigenous Affairs; Parliamentary Assistant to the Minister of Northern Development,7525
,Donna,Skelly,Female ,Legislative office,"Room 270
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,Donna.Skelly@pc.ola.org,416-325-0138,,,,Flamborough—Glanbrook,Progressive Conservative Party of Ontario,,7470
,Donna,Skelly,Female ,Constituency office,"Suite 104
2000 Garth St.
",Hamilton,ON,L9B 0C1,,Donna.Skelly@pc.ola.org,905-679-3770,905-679-0288,,,Flamborough—Glanbrook,Progressive Conservative Party of Ontario,,7470
Hon.,Raymond Sung Joon,Cho,Male ,Ministry office,"Ministry for Seniors and Accessibility
5th Floor
777 Bay St.
",Toronto,ON,M5G 2C8,,Raymond.Cho@pc.ola.org,1-888-910-1999,,,,Scarborough North,Progressive Conservative Party of Ontario,Minister for Seniors and Accessibility,7364
Hon.,Raymond Sung Joon,Cho,Male ,Constituency office,"Unit B
4559 Sheppard Ave. E
",Toronto,ON,M1S 1V3,,Raymond.Cho@pc.ola.org,416-297-5040,416-297-6767,,,Scarborough North,Progressive Conservative Party of Ontario,Minister for Seniors and Accessibility,7364
Hon.,Charmaine,Williams,Female ,Ministry office,"Ministry of Children, Community and Social Services
7th Floor
438 University Ave.
",Toronto,ON, M5G 2K8,,Charmaine.Williams@pc.ola.org,,,,,Brampton Centre,Progressive Conservative Party of Ontario,Associate Minister of Women's Social and Economic Opportunity,7586
Hon.,Charmaine,Williams,Female ,Constituency office,"Lakeridge Plaza
Unit 12
456 Vodden St. E
",Brampton,ON,L6S 5Y7,,Charmaine.Williams@pc.ola.org,905-454-1233,905-454-8292,,,Brampton Centre,Progressive Conservative Party of Ontario,Associate Minister of Women's Social and Economic Opportunity,7586
,Hardeep,Grewal,Male ,Ministry office,"Ministry of Transportation
5th Floor
777 Bay St.
",Toronto,ON,M7A 1Z8,,Hardeep.Grewal@pc.ola.org,,,,,Brampton East,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Transportation,7587
,Hardeep,Grewal,Male ,Constituency office,"Unit 307
1 Gateway Blvd.
",Brampton,ON,L6T 0G3,,Hardeep.Grewal@pc.ola.org,905-799-3939,905-799-9505,,,Brampton East,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Transportation,7587
Hon.,Paul,Calandra,Male ,Ministry office,"Ministry of Long-Term Care
6th Floor
400 University Ave.
",Toronto,ON,M7A 1T7,,Paul.Calandra@pc.ola.org,416-325-6200,,,,Markham—Stouffville,Progressive Conservative Party of Ontario,Minister of Long-Term Care; Minister of Legislative Affairs,7484
Hon.,Paul,Calandra,Male ,Ministry office,"Ministry of&nbsp;Legislative Affairs
Main Legislative Building
Room 223
111 Wellesley St. W
",Toronto,ON,M7A 1A8,,Paul.Calandra@pc.ola.org,,,,,Markham—Stouffville,Progressive Conservative Party of Ontario,Minister of Long-Term Care; Minister of Legislative Affairs,7484
Hon.,Paul,Calandra,Male ,Legislative office,"Room 223
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,,Paul.Calandra@pc.ola.org,,,,,Markham—Stouffville,Progressive Conservative Party of Ontario,Minister of Long-Term Care; Minister of Legislative Affairs,7484
Hon.,Paul,Calandra,Male ,Constituency office,"Suite 400
37 Sandiford Dr.
",Stouffville,ON,L4A 3Z2,,Paul.Calandra@pc.ola.org,905-642-2588,905-642-1618,1-866-531-9551,,Markham—Stouffville,Progressive Conservative Party of Ontario,Minister of Long-Term Care; Minister of Legislative Affairs,7484
,Jeff,Burch,Male ,Constituency office,"Unit 102
60 King St.
",Welland,ON,L3B 6A4,JBurch-CO@ndp.on.ca,,905-732-6884,905-732-9782,,,Niagara Centre,New Democratic Party of Ontario,,7496
,Jeff,Burch,Male ,Legislative office,"Room 355
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,JBurch-QP@ndp.on.ca,,416-325-3990,416-325-3415,,,Niagara Centre,New Democratic Party of Ontario,,7496
,Stéphane,Sarrazin,Male ,Ministry office,"Ministry of Energy
10th Floor
77 Grenville Ave.
",Toronto,ON,M5S 1B1,,Stephane.Sarrazin@pc.ola.org,,,,,Glengarry—Prescott—Russell,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Energy,7598
,Stéphane,Sarrazin,Male ,Constituency office,"290A McGill St.
",Hawkesbury,ON,K6A 1P8,,Stephane.Sarrazin@pc.ola.org,613-632-2706,613-632-1554,1-800-294-8250,,Glengarry—Prescott—Russell,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Energy,7598
,Sandy,Shaw,Female ,Constituency office,"177 King St. W
",Dundas,ON,L9H 1V3,SShaw-CO@ndp.on.ca,SShaw-QP@ndp.on.ca,905-628-2755,905-628-1280,,,Hamilton West—Ancaster—Dundas,New Democratic Party of Ontario,,7472
,Sandy,Shaw,Female ,Legislative office,"Room 359
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,SShaw-QP@ndp.on.ca,SShaw-QP@ndp.on.ca,416-326-6890,416-326-6885,,,Hamilton West—Ancaster—Dundas,New Democratic Party of Ontario,,7472
,Laurie,Scott,Female ,Constituency office,"14 Lindsay St. N
",Lindsay,ON,K9V 1T4,Laurie.Scottco@pc.ola.org,Laurie.Scott@pc.ola.org,705-324-6654,,1-800-424-2490,,Haliburton—Kawartha Lakes—Brock,Progressive Conservative Party of Ontario,,2116
,Laurie,Scott,Female ,Legislative office,"Room 420
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A8,,Laurie.Scott@pc.ola.org,416-325-0277,,,,Haliburton—Kawartha Lakes—Brock,Progressive Conservative Party of Ontario,,2116
,Mike,Schreiner,Male ,Constituency office,"173 Woolwich St.
",Guelph,ON,N1H 3V4,mschreiner-co@ola.org,mschreiner@ola.org,519-836-4190,519-836-4191,,,Guelph,Green Party of Ontario,,7449
,Mike,Schreiner,Male ,Legislative office,"Room 186
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,mschreiner@ola.org,416-325-4664,416-325-4666,,,Guelph,Green Party of Ontario,,7449
,Peggy,Sattler,Female ,Constituency office,"Unit 101
240 Commissioners Rd. W
",London,ON,N6J 1Y1,PSattler-CO@ndp.on.ca,,519-657-3120,519-657-0368,,,London West,New Democratic Party of Ontario,,7225
,Peggy,Sattler,Female ,Legislative office,"Room 467
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,PSattler-QP@ndp.on.ca,,416-325-6908,416-325-7030,,,London West,New Democratic Party of Ontario,,7225
Hon.,Parm,Gill,Male ,Ministry office,"Ministry of Red Tape Reduction
7th Floor
56 Wellesley St. W
",Toronto,ON,M7A 2E7,,Parm.Gill@pc.ola.org,416-212-0088,,,,Milton,Progressive Conservative Party of Ontario,Minister of Red Tape Reduction,7488
Hon.,Parm,Gill,Male ,Constituency office,"Unit 206
400 Main St. E
",Milton,ON,L9T 4X5,,Parm.Gill@pc.ola.org,905-878-1729  ,905-878-5144  ,,,Milton,Progressive Conservative Party of Ontario,Minister of Red Tape Reduction,7488
,Goldie,Ghamari,Female ,Legislative office,"Room 441
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,Goldie.Ghamari@pc.ola.org,416-325-4890,,,,Carleton,Progressive Conservative Party of Ontario,,7459
